estacion,nombreestacion,longitud2,latitud2,altitud,anio,mes,temperatura,mes_num
M0001,INGUINCHO,-78408.0,0.2575,3140,2019,ene,11.2,
M0002,LA TOLA,-78.3704,-0.2318,2480,2019,ene,16.3,
M0003,IZOBAMBA,-78555.0,-0.365833,3058,2019,ene,12.9,
M0004,RUMIPAMBA-SALCEDO,-78.5946,-1.02,2685,2019,ene,15.0,
M0005,PORTOVIEJO-UTM,-80.4596,-1.0376,46,2019,ene,26.2,
M0006,PICHILINGUE,-79.46166667,-1.1,120,2019,ene,25.6,
M0007,NUEVO ROCAFUERTE,-75403.0,-0.92,185,2019,ene,26.0,
M0008,PUYO,-77956.0,-1.5057,956,2019,ene,21.4,
M0024,QUITO INAMHI-IAQUITO,-78.4877,-0.1783,2789,2019,ene,16.0,
M0025,LA CONCORDIA,-79.38027778,-0.024722222,379,2019,ene,24.7,
M0031,CAAR,-78.9452,-2.5522,3083,2019,ene,12.5,
M0033,LA ARGELIA-LOJA,-79.2034,-4.0375,2160,2019,ene,16.5,
M0037,MILAGRO(INGENIO VALDEZ),-79.60027778,-2.118055556,23,2019,ene,26.4,
M0055,QUITO AEROPUERTO- PARQUE BICENTENARIO,-78485.0,-0.14,2794,2019,ene,15.4,
M0103,SAN GABRIEL,-77.81944444,0.604166667,2860,2019,ene,12.8,
M0139,GUALACEO,-78.7806,-2.8981,2230,2019,ene,18.0,
M1040,MACAS SAN ISIDRO-DOMONO,-78125.0,-2.2298,1110,2019,ene,20.9,
M1094,TOMALON-TABACUNDO,-78.25505278,0.011155556,2790,2019,ene,15.9,
M0001,INGUINCHO,-78408.0,0.2575,3140,2019,feb,11.5,
M0002,LA TOLA,-78.3704,-0.2318,2480,2019,feb,16.7,
M0003,IZOBAMBA,-78555.0,-0.365833,3058,2019,feb,12.9,
M0004,RUMIPAMBA-SALCEDO,-78.5946,-1.02,2685,2019,feb,15.2,
M0005,PORTOVIEJO-UTM,-80.4596,-1.0376,46,2019,feb,26.7,
M0006,PICHILINGUE,-79.46166667,-1.1,120,2019,feb,26.5,
M0007,NUEVO ROCAFUERTE,-75403.0,-0.92,185,2019,feb,26.1,
M0008,PUYO,-77956.0,-1.5057,956,2019,feb,21.6,
M0024,QUITO INAMHI-IAQUITO,-78.4877,-0.1783,2789,2019,feb,15.8,
M0025,LA CONCORDIA,-79.38027778,-0.024722222,379,2019,feb,25.2,
M0031,CAAR,-78.9452,-2.5522,3083,2019,feb,13.0,
M0033,LA ARGELIA-LOJA,-79.2034,-4.0375,2160,2019,feb,17.1,
M0037,MILAGRO(INGENIO VALDEZ),-79.60027778,-2.118055556,23,2019,feb,26.6,
M0055,QUITO AEROPUERTO- PARQUE BICENTENARIO,-78485.0,-0.14,2794,2019,feb,15.3,
M0103,SAN GABRIEL,-77.81944444,0.604166667,2860,2019,feb,13.3,
M0139,GUALACEO,-78.7806,-2.8981,2230,2019,feb,18.5,
M1040,MACAS SAN ISIDRO-DOMONO,-78125.0,-2.2298,1110,2019,feb,20.9,
M1094,TOMALON-TABACUNDO,-78.25505278,0.011155556,2790,2019,feb,15.8,
M0001,INGUINCHO,-78408.0,0.2575,3140,2019,mar,11.9,
M0002,LA TOLA,-78.3704,-0.2318,2480,2019,mar,16.3,
M0003,IZOBAMBA,-78555.0,-0.365833,3058,2019,mar,12.7,
M0004,RUMIPAMBA-SALCEDO,-78.5946,-1.02,2685,2019,mar,15.3,
M0005,PORTOVIEJO-UTM,-80.4596,-1.0376,46,2019,mar,26.6,
M0006,PICHILINGUE,-79.46166667,-1.1,120,2019,mar,26.4,
M0007,NUEVO ROCAFUERTE,-75403.0,-0.92,185,2019,mar,26.1,
M0008,PUYO,-77956.0,-1.5057,956,2019,mar,21.4,
M0024,QUITO INAMHI-IAQUITO,-78.4877,-0.1783,2789,2019,mar,15.8,
M0025,LA CONCORDIA,-79.38027778,-0.024722222,379,2019,mar,25.4,
M0031,CAAR,-78.9452,-2.5522,3083,2019,mar,12.9,
M0033,LA ARGELIA-LOJA,-79.2034,-4.0375,2160,2019,mar,17.4,
M0037,MILAGRO(INGENIO VALDEZ),-79.60027778,-2.118055556,23,2019,mar,27.2,
M0055,QUITO AEROPUERTO- PARQUE BICENTENARIO,-78485.0,-0.14,2794,2019,mar,15.6,
M0103,SAN GABRIEL,-77.81944444,0.604166667,2860,2019,mar,13.1,
M0139,GUALACEO,-78.7806,-2.8981,2230,2019,mar,18.5,
M1040,MACAS SAN ISIDRO-DOMONO,-78125.0,-2.2298,1110,2019,mar,,
M1094,TOMALON-TABACUNDO,-78.25505278,0.011155556,2790,2019,mar,15.8,
M0001,INGUINCHO,-78408.0,0.2575,3140,2019,abr,11.6,
M0002,LA TOLA,-78.3704,-0.2318,2480,2019,abr,16.1,
M0003,IZOBAMBA,-78555.0,-0.365833,3058,2019,abr,12.5,
M0004,RUMIPAMBA-SALCEDO,-78.5946,-1.02,2685,2019,abr,14.8,
M0005,PORTOVIEJO-UTM,-80.4596,-1.0376,46,2019,abr,27.0,
M0006,PICHILINGUE,-79.46166667,-1.1,120,2019,abr,26.7,
M0007,NUEVO ROCAFUERTE,-75403.0,-0.92,185,2019,abr,26.4,
M0008,PUYO,-77956.0,-1.5057,956,2019,abr,21.9,
M0024,QUITO INAMHI-IAQUITO,-78.4877,-0.1783,2789,2019,abr,15.4,
M0025,LA CONCORDIA,-79.38027778,-0.024722222,379,2019,abr,25.5,
M0031,CAAR,-78.9452,-2.5522,3083,2019,abr,,
M0033,LA ARGELIA-LOJA,-79.2034,-4.0375,2160,2019,abr,17.3,
M0037,MILAGRO(INGENIO VALDEZ),-79.60027778,-2.118055556,23,2019,abr,27.4,
M0055,QUITO AEROPUERTO- PARQUE BICENTENARIO,-78485.0,-0.14,2794,2019,abr,15.2,
M0103,SAN GABRIEL,-77.81944444,0.604166667,2860,2019,abr,13.2,
M0139,GUALACEO,-78.7806,-2.8981,2230,2019,abr,,
M1040,MACAS SAN ISIDRO-DOMONO,-78125.0,-2.2298,1110,2019,abr,,
M1094,TOMALON-TABACUNDO,-78.25505278,0.011155556,2790,2019,abr,15.5,
M0001,INGUINCHO,-78408.0,0.2575,3140,2019,may,11.2,
M0002,LA TOLA,-78.3704,-0.2318,2480,2019,may,16.0,
M0003,IZOBAMBA,-78555.0,-0.365833,3058,2019,may,12.6,
M0004,RUMIPAMBA-SALCEDO,-78.5946,-1.02,2685,2019,may,14.4,
M0005,PORTOVIEJO-UTM,-80.4596,-1.0376,46,2019,may,26.5,
M0006,PICHILINGUE,-79.46166667,-1.1,120,2019,may,26.1,
M0007,NUEVO ROCAFUERTE,-75403.0,-0.92,185,2019,may,25.7,
M0008,PUYO,-77956.0,-1.5057,956,2019,may,21.7,
M0024,QUITO INAMHI-IAQUITO,-78.4877,-0.1783,2789,2019,may,15.6,
M0025,LA CONCORDIA,-79.38027778,-0.024722222,379,2019,may,25.2,
M0031,CAAR,-78.9452,-2.5522,3083,2019,may,,
M0033,LA ARGELIA-LOJA,-79.2034,-4.0375,2160,2019,may,16.8,
M0037,MILAGRO(INGENIO VALDEZ),-79.60027778,-2.118055556,23,2019,may,27.0,
M0055,QUITO AEROPUERTO- PARQUE BICENTENARIO,-78485.0,-0.14,2794,2019,may,15.1,
